Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
59311;Oulujoki, Jokivarsi;Havaintopaikan tiedot ;SA;Oulujoki, 59.111;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1951;1.2.2026
59331;Oulujärvi;Havaintopaikan tiedot ;SA;Oulujoki, 59.311;Vaala;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.12.1950;1.2.2026
59381;Sotkamon r.,Nuas-Ontojärvi;Havaintopaikan tiedot ;SA;Oulujoki, 59.811;Kajaani;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1952;1.2.2026
59541;Emäjoki;Havaintopaikan tiedot ;SA;Oulujoki, 59.411;Paltamo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1952;1.2.2026
59742;Hyrynjärvi-Kokkokorva;Havaintopaikan tiedot ;SA;Oulujoki, 59.421;Ristijärvi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59752;Hyrynsalm.Reit. Yläjoki,Hossa;Havaintopaikan tiedot ;SA;Oulujoki, 59.522;Suomussalmi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
59761;Vuokkijärvi-Niipas;Havaintopaikan tiedot ;SA;Oulujoki, 59.611;Suomussalmi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59771;Koirakoski;Havaintopaikan tiedot ;SA;Oulujoki, 59.711;Hyrynsalmi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
59791;Lammasjärvi-Luusua;Havaintopaikan tiedot ;SA;Oulujoki, 59.911;Kuhmo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59794;Kellojärvi-Murtosalmi;Havaintopaikan tiedot ;SA;Oulujoki, 59.941;Kuhmo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59811;Merikoski;Havaintopaikan tiedot ;SA;Oulujoki, 59.111;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.12.1950;1.2.2026
59831;Oulujärvi-Vaala;Havaintopaikan tiedot ;SA;Oulujoki, 59.311;Vaala;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
59835;Kivesjärvi-Luusua;Havaintopaikan tiedot ;SA;Oulujoki, 59.351;Paltamo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
59841;Leppikoski,Kiehimä;Havaintopaikan tiedot ;SA;Oulujoki, 59.411;Paltamo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
59848;Pyhäntä;Havaintopaikan tiedot ;SA;Oulujoki, 59.481;Ristijärvi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
59851;Kiantajärvi-Pysty;Havaintopaikan tiedot ;SA;Oulujoki, 59.511;Suomussalmi;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
59881;Rehjänselkä-Kajaani;Havaintopaikan tiedot ;SA;Oulujoki, 59.811;Kajaani;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
59891;Ontojärvi-Luusua;Havaintopaikan tiedot ;SA;Oulujoki, 59.911;Kuhmo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
59892;Lentua-Luusua;Havaintopaikan tiedot ;SA;Oulujoki, 59.921;Kuhmo;Kainuu;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
60801;Haukipudas;Havaintopaikan tiedot ;SA;Kiiminginjoki, 60.011;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;1.3.1946;1.3.1991
60803;Kiiminkij. Torniontalo;Havaintopaikan tiedot ;SA;Kiiminginjoki, 60.031;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1965;1.4.1980
60806;Nuorittajoki,Perttunen;Havaintopaikan tiedot ;SA;Kiiminginjoki, 60.061;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
61711;Iijoki,Yli-Ii;Havaintopaikan tiedot ;SA;Iijoki, 61.111;Ii;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
61712;Iijoki,Pahkakoski;Havaintopaikan tiedot ;SA;Iijoki, 61.121;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
61731;Jokijärvi,Niskakoski;Havaintopaikan tiedot ;SA;Iijoki, 61.311;Taivalkoski;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1963;1.2.2026
61751;Livojoki,Hanhikoski;Havaintopaikan tiedot ;SA;Iijoki, 61.511;Pudasjärvi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
61761;Koitijärvi;Havaintopaikan tiedot ;SA;Iijoki, 61.611;Taivalkoski;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1961;1.2.2026
61771;Jaurakkajärvi-Luusua;Havaintopaikan tiedot ;SA;Iijoki, 61.711;Pudasjärvi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1956;1.2.2026
61772;Korpijoki,Suolijärvi-Luusua;Havaintopaikan tiedot ;SA;Iijoki, 61.721;Pudasjärvi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
61811;Raasakka;Havaintopaikan tiedot ;SA;Iijoki, 61.111;Ii;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
61813;Kipinä;Havaintopaikan tiedot ;SA;Iijoki, 61.131;Pudasjärvi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.2.1954;1.2.2026
61821;Kurenalus;Havaintopaikan tiedot ;SA;Iijoki, 61.211;Pudasjärvi;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1956;1.4.1980
61823;Väätäjänsuvanto;Havaintopaikan tiedot ;SA;Iijoki, 61.231;Taivalkoski;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
61841;Siuruanjoki,Leuankoski;Havaintopaikan tiedot ;SA;Iijoki, 61.411;Oulu;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
63701;Kuivajoki;Havaintopaikan tiedot ;SA;Kuivajoki, 63.011;Ii;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
64801;Simojoki,Simo;Havaintopaikan tiedot ;SA;Simojoki, 64.011;Simo;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;1.3.1946;1.3.1991
64803;Simojoki,Hosionkoski;Havaintopaikan tiedot ;SA;Simojoki, 64.031;Ranua;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1965;1.4.1980
65051;Sinettäjärvi-Luusua;Havaintopaikan tiedot ;SA;Kemijoki, 65.513;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1965;1.2.2026
65159;Meltauskoski,Suukoski;Havaintopaikan tiedot ;SA;Kemijoki, 65.591;Ii;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65163;Ounasjoki,Ounasjärvi-Luusua;Havaintopaikan tiedot ;SA;Kemijoki, 65.631;Enontekiö;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
65186;Kitinen,Sattasjoki;Havaintopaikan tiedot ;SA;Kemijoki, 65.861;Sodankylä;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1978;1.4.1980
65211;Raudanjoki ym + suuosa;Havaintopaikan tiedot ;SA;Kemijoki, 65.111;Keminmaa;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.10.1960;1.2.2026
65239;Jumiskonjoki.Jumisko;Havaintopaikan tiedot ;SA;Kemijoki, 65.391;Posio;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
