paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
3045;2101500;Vantaa, Ylikylä;W;Vedenkorkeus;21.021;Jatkuva;19.03.2002;19.12.2025;Uusimaa
3049;5300110;Reis-Vuohtajärvi;W;Vedenkorkeus;53.053;Jatkuva;01.01.1976;19.12.2025;Pohjois-Pohjanmaa
3050;5300330;Settijärvi;W;Vedenkorkeus;53.072;Jatkuva;01.01.1976;19.12.2025;Pohjois-Pohjanmaa
3051;5300230;Kuonanjärvi;W;Vedenkorkeus;53.082;Jatkuva;01.01.1976;19.12.2025;Pohjois-Pohjanmaa
3052;5300120;Kiljanjärvi;W;Vedenkorkeus;53.057;Jatkuva;01.01.1976;19.12.2025;Pohjois-Pohjanmaa
3053;5300410;Pidisjärvi;W;Vedenkorkeus;53.033;Jatkuva;01.01.1992;19.12.2025;Pohjois-Pohjanmaa
3055;5300130;Korpinen;W;Vedenkorkeus;53.058;Jatkuva;25.01.1969;19.12.2025;Pohjois-Pohjanmaa
3056;5300140;Iso-Juurikka;W;Vedenkorkeus;53.059;Jatkuva;09.01.1969;19.12.2025;Pohjois-Pohjanmaa
3062;8103200;Ingarskilaån;W;Vedenkorkeus;81.064;Jatkuva;13.06.2001;19.12.2025;Uusimaa
3068;2100210;Vantaanjoki, Paloheimo;W;Vedenkorkeus;21.023;Jatkuva;01.09.2001;19.12.2025;Kanta-Häme
3072;3602110;Salmus ala;W;Vedenkorkeus;36.013;Jatkuva;08.09.1999;19.12.2025;Satakunta
3075;1300101;Reitkalli, Puutarhak. silta;W;Vedenkorkeus;13.001;Jatkuva;02.04.2003;19.12.2025;Kymenlaakso
3078;6100222;Turpeisenjärvi;W;Vedenkorkeus;61.313;Jatkuva;29.06.1965;30.06.2012;Pohjois-Pohjanmaa
3079;6100710;Pudasjärvi, Tuulisalmi;W;Vedenkorkeus;61.133;Jatkuva;08.04.1959;19.12.2025;Pohjois-Pohjanmaa
3082;8102510;Nuuksion Pitkäjärvi;W;Vedenkorkeus;81.057;Jatkuva;01.01.1973;30.10.2025;Uusimaa
3084;2300944;Kirkkojärvi, Karjaa;W;Vedenkorkeus;23.012;Jatkuva;02.01.1975;19.12.2025;Uusimaa
3093;8102520;Bodom;W;Vedenkorkeus;81.055;Jatkuva;01.01.1973;19.12.2025;Uusimaa
3095;5902240;Katerma, ylä;W;Vedenkorkeus;59.911;Jatkuva;;;Kainuu
3100;3510730;Pori, Rauman silta;W;Vedenkorkeus;35.111;Jatkuva;;;Satakunta
3103;3509112;Koijärvi;W;Vedenkorkeus;35.965;Jatkuva;18.01.1983;19.12.2025;Kanta-Häme
3104;3509111;Pehkijärvi;W;Vedenkorkeus;35.933;Jatkuva;01.04.1971;19.12.2025;Kanta-Häme
3107;3502530;Äimäjärvi;W;Vedenkorkeus;35.262;Jatkuva;24.08.1982;19.12.2025;Kanta-Häme
