paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN;KoordErTmIta;KoordErTmPohj
3117;3502540;Katumajärvi, uimarannan laituri;W;Vedenkorkeus;35.236;Jatkuva;30.11.1953;18.1.2026;Kanta-Häme;28;0;;;;365305;6765350
3118;3502410;Alasjärvi;W;Vedenkorkeus;35.872;Jatkuva;1.12.1995;18.1.2026;Kanta-Häme;36;8;;0;;370809;6744270
3119;3501320;Eteläistenjärvi;W;Vedenkorkeus;35.775;Jatkuva;1.3.1948;18.1.2026;Kanta-Häme;0;-27;;;;374693;6772419
3120;2100230;Arolammen silta;W;Vedenkorkeus;21.023;Jatkuva;1.11.1999;18.1.2026;Kanta-Häme;26;0;;-7;;379340;6730186
3127;3501010;Vehkajärvi;W;Vedenkorkeus;35.784;Jatkuva;10.4.1947;18.1.2026;Päijät-Häme;11037;11009;;;;388885;6813441
3131;3501940;Haminanvuolle (Teuronjoki-Puujoki);W;Vedenkorkeus;35.823;Jatkuva;22.12.1954;18.1.2026;Kanta-Häme;40;14;0;;;392841;6747025
3132;3501931;Oriharonjärvi;W;Vedenkorkeus;35.834;Jatkuva;2.4.1959;18.1.2026;Päijät-Häme;40;14;0;;;399691;6751383
3136;3501930;Valkjärvi;W;Vedenkorkeus;35.838;Jatkuva;11.4.1958;18.1.2026;Päijät-Häme;39;14;0;;;403765;6749148
3145;3600600;Karvian Kirkkojärvi;W;Vedenkorkeus;36.042;Jatkuva;1.1.1968;19.1.2026;Satakunta;12881;12844;;;;267863;6896792
3146;5700120;Iso-Lamujärvi;W;Vedenkorkeus;57.063;Jatkuva;1.1.1971;18.1.2026;Pohjois-Pohjanmaa;13601;;;13555;;462763;7104974
3147;4700110;Alajärvi;W;Vedenkorkeus;47.043;Jatkuva;1.1.1982;18.1.2026;Etelä-Pohjanmaa;51;;;0;;343312;6988767
3152;3600530;Riuttan pato, ala;W;Vedenkorkeus;36.015;Jatkuva;19.8.2003;19.1.2026;Satakunta;3936;3900;;;;241594;6844038
3163;1402211;Keitele, Äänekoski;W;Vedenkorkeus;14.411;Jatkuva;1.7.2003;31.12.2025;Keski-Suomi;56;26;0;;;434890;6942819
3164;3508520;Mouhijärvi;W;Vedenkorkeus;35.155;Jatkuva;1.1.1995;19.1.2026;Pirkanmaa;45;12;;0;;272237;6825450
3176;2200200;Poikkipuoliainen;W;Vedenkorkeus;22.004;Jatkuva;1.4.1977;18.1.2026;Uusimaa;4850;4825;;;;358497;6691434
3188;2101320;Rusutjärvi;W;Vedenkorkeus;21.083;Jatkuva;21.5.1992;17.1.2026;Uusimaa;26;0;;;;388381;6701051
3199;2400710;Saarenjärvi, etelä;W;Vedenkorkeus;24.012;Jatkuva;6.9.1999;18.1.2026;Varsinais-Suomi;1518;1492;;;;289825;6672376
3200;2400700;Perniönjoki, Pesän silta;W;Vedenkorkeus;24.041;Jatkuva;23.4.2015;19.1.2026;Varsinais-Suomi;27;0;;;;285225;6680499
3201;2400200;Hirsjärvi, Kirveslahti;W;Vedenkorkeus;24.062;Jatkuva;12.4.1995;18.1.2026;Varsinais-Suomi;4823;4796;;;;301381;6692553
3207;3600930;Niemijärvi, oik;W;Vedenkorkeus;36.061;Jatkuva;1.1.1979;18.1.2026;Satakunta;4099;4061;;;;224974;6867370
3212;5700162;Kortteinen pato;W;Vedenkorkeus;57.062;Jatkuva;1.12.1966;18.1.2026;Pohjois-Pohjanmaa;47;;;0;;452827;7116519
3217;5703100;Lämsänkoski;W;Vedenkorkeus;57.031;Jatkuva;1.12.1973;18.1.2026;Pohjois-Pohjanmaa;48;13;;0;;459144;7131113
3219;5800100;Tyrnävänjoki, lm;W;Vedenkorkeus;58.052;Jatkuva;10.4.1989;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;438552;7175895
3222;6500720;Pyhäjoki;W;Vedenkorkeus;65.652;Jatkuva;8.9.2004;18.1.2026;Lappi;38;0;;;;380541;7548335
3225;8400800;Haapajärven tekoallas;W;Vedenkorkeus;84.088;Jatkuva;30.10.1966;19.1.2026;Pohjois-Pohjanmaa;38;0;;;;380176;7167098
3232;6500710;Pallasjärvi;W;Vedenkorkeus;65.652;Jatkuva;7.9.2004;18.1.2026;Lappi;26618;26592;;;;381535;7548367
3233;5400150;Venetpalo,ylä;W;Vedenkorkeus;54.041;Jatkuva;26.9.2004;18.1.2026;Pohjois-Pohjanmaa;26618;26592;;;;440152;7085886
3234;8400900;Pattijoki;W;Vedenkorkeus;84.09;Jatkuva;7.6.1984;19.1.2026;Pohjois-Pohjanmaa;42;0;;;;384624;7175945
3242;5300150;Jalkakosken sp;W;Vedenkorkeus;53.043;Jatkuva;4.10.2004;18.1.2026;Pohjois-Pohjanmaa;42;0;;;;408434;7064118
