paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2392;5902110;Murtosalmi;W;Vedenkorkeus;59.941;Lopetettu;20.11.1938;31.3.1981;Kainuu;15951.0;15922.0;;;
2393;5902200;Ontojärvi, Tervasalmi;W;Vedenkorkeus;59.911;Lopetettu;1.1.1912;31.12.1965;Kainuu;15698.0;15669.0;15639.0;;
2395;5902230;Ontojärvi, Katerma;W;Vedenkorkeus;59.911;Lopetettu;15.11.1950;30.4.1981;Kainuu;57.0;30.0;0.0;;
2396;5902300;Iso-Kiimanen;W;Vedenkorkeus;59.823;Lopetettu;16.7.1910;30.1.1964;Kainuu;13720.0;13690.0;13660.0;;
2398;5902500;Nuasjärvi, itä;W;Vedenkorkeus;59.811;Lopetettu;01.01.1896;15.10.1998;Kainuu;13595.0;13566.0;13535.0;;
2401;5902700;Koivukoski, ylä;W;Vedenkorkeus;59.811;Lopetettu;01.01.1896;31.12.1995;Kainuu;63.0;;0.0;;
2402;5902900;Ämmäkoski, ylä;W;Vedenkorkeus;59.331;Lopetettu;01.05.1891;31.12.1912;Kainuu;12703.0;;12640.0;;
2403;5903100;Kajaani;W;Vedenkorkeus;59.331;Lopetettu;22.7.1910;31.12.1990;Kainuu;12108.0;12078.0;12044.0;;
2404;5903200;Oulujärvi, Jormua;W;Vedenkorkeus;59.331;Lopetettu;4.6.1938;31.12.1969;Kainuu;12154.0;12124.0;12087.0;;
2406;5903300;Oulujärvi, Vuolijoki;W;Vedenkorkeus;59.321;Lopetettu;1.6.1938;31.12.1963;Kainuu;12160.0;12127.0;12092.0;;
2407;5903320;Oulujärvi, Manamansalo;W;Vedenkorkeus;59.311;Lopetettu;1.1.1970;31.12.1992;Pohjois-Pohjanmaa;12140.0;12108.0;;;
2411;5903500;Vaala;W;Vedenkorkeus;59.311;Lopetettu;01.01.1896;19.10.1950;Pohjois-Pohjanmaa;12155.0;;12083.0;;
2412;5903530;Alajärvi;W;Vedenkorkeus;59.261;Lopetettu;17.5.1949;31.12.1952;Pohjois-Pohjanmaa;72.0;;0.0;;
2413;5904000;Sotkajärvi;W;Vedenkorkeus;59.131;Lopetettu;28.7.1910;31.12.1966;Pohjois-Pohjanmaa;6924.0;;6855.0;;
2414;5904200;Muhos;W;Vedenkorkeus;59.112;Lopetettu;16.6.1910;31.12.1961;Pohjois-Pohjanmaa;1115.0;1077.0;1043.0;;
2417;6000160;Auhojärvi;W;Vedenkorkeus;60.083;Lopetettu;11.1.1977;31.12.1993;Kainuu;13561.0;13527.0;;;
2419;6000300;Kiiminki;W;Vedenkorkeus;60.011;Lopetettu;1.2.1962;31.8.1991;Pohjois-Pohjanmaa;3655.0;3615.0;;3603.0;
2421;6100110;Poussunjärvi;W;Vedenkorkeus;61.333;Lopetettu;1.1.1961;31.12.1994;Pohjois-Pohjanmaa;24980.0;24951.0;;24938.0;
2422;6100120;Keski-Kero;W;Vedenkorkeus;61.322;Lopetettu;1.1.1961;31.12.1965;Pohjois-Pohjanmaa;23589.0;23559.0;;23546.0;
2424;6100210;Irnijärvi, Runtti;W;Vedenkorkeus;61.313;Lopetettu;1.1.1960;31.12.1964;Pohjois-Pohjanmaa;23368.0;23337.0;;23324.0;
2427;6100240;Kurtinjärvi;W;Vedenkorkeus;61.392;Lopetettu;1.4.1980;30.4.1992;Pohjois-Pohjanmaa;22520.0;22488.0;;;
