paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2431;6100340;Kynsijärvi;W;Vedenkorkeus;61.631;Jatkuva;21.1.1965;18.12.2025;Lappi;;;0;;
2433;6100500;Väätäjänsuvanto;W;Vedenkorkeus;61.231;Jatkuva;28.9.1955;19.12.2025;Pohjois-Pohjanmaa;16157;16124;;16111;
2436;6100620;Suolijärvi;W;Vedenkorkeus;61.722;Jatkuva;1.1.1961;19.12.2025;Kainuu;14931;14898;;;
2438;6100640;Jaurakkajärvi;W;Vedenkorkeus;61.712;Jatkuva;1.3.1960;19.12.2025;Pohjois-Pohjanmaa;12386;12352;;;
2439;6100700;Jongunjärvi;W;Vedenkorkeus;61.214;Jatkuva;6.4.1984;19.12.2025;Pohjois-Pohjanmaa;35;0;;;
2442;6101100;Livojärvi;W;Vedenkorkeus;61.533;Jatkuva;1.1.1960;19.12.2025;Lappi;32;0;;;
2444;6101210;Livojoki, Hanhikoski;W;Vedenkorkeus;61.512;Jatkuva;27.9.1972;19.12.2025;Pohjois-Pohjanmaa;11581;11545;;;
2446;6101600;Siuruanjoki, Leuvankoski;W;Vedenkorkeus;61.412;Jatkuva;9.9.1959;19.12.2025;Pohjois-Pohjanmaa;4582;4544;;;
2450;6300100;Oijärvi;W;Vedenkorkeus;63.021;Jatkuva;1.1.1954;19.12.2025;Pohjois-Pohjanmaa;8981;8940;;;
2452;6300210;Ravaska;W;Vedenkorkeus;63.012;Jatkuva;1.1.1965;19.12.2025;Pohjois-Pohjanmaa;2654;2613;;;
2453;6400100;Simojärvi;W;Vedenkorkeus;64.051;Jatkuva;1.1.1962;19.12.2025;Lappi;17565;17530;;;
2455;6400310;Hosionkoski;W;Vedenkorkeus;64.022;Jatkuva;17.1.1962;19.12.2025;Lappi;10910;10872;;;
2457;6400410;Simo;W;Vedenkorkeus;64.012;Jatkuva;1.1.1965;19.12.2025;Lappi;1079;1039;;;
